x,y,lx,ly,lz,dl,vx,vy,exx,eyy,ezz,exy,eyx,cumexx,cumeyy,cumezz,cumexy,cumeyx,sxx,syy,sxy,syx
245735.471882828,-1543698.82181397,0.005602387064715,0.594004106763429,0.400393506171855,0.588401719698715,56.7802088144957,-3.02885659309027E-06,0.000238131783188,0.000327671739288,-0.000565803522476,9.20227145077055E-05,9.20227145077055E-05,0.006602731737682,0.000205037860118,-0.0068077695978,-0.00586582865278,-0.00586582865278,2.71050543121376E-20,2.71050543121376E-20,0.000443977347459,-0.000443977347459
245759.772103317,-1543647.5042595,0.005729151931124,0.593692718164869,0.400578129904007,0.587963566233745,56.7802088144957,-3.02885659309027E-06,0.000238131783188,0.000327671739288,-0.000565803522476,9.20227145077055E-05,9.20227145077055E-05,0.00684086352087,0.000532709599406,-0.007373573120276,-0.005773805938272,-0.005773805938272,2.71050543121376E-20,2.71050543121376E-20,0.000443977347459,-0.000443977347459
245784.072323807,-1543596.18670502,0.005795324814943,0.593541241651843,0.400663433533214,0.5877459168369,57.0294628650122,-2.60859091483212E-06,-4.85357932506113E-05,0.000222252337192,-0.000173716543941,-9.28066694139458E-05,-9.28066694139458E-05,0.006792327727619,0.000754961936598,-0.007547289664217,-0.005866612607686,-0.005866612607686,0,0,0.00044237660768,-0.00044237660768
245808.437994964,-1543544.62437669,0.00586182206072,0.593389472274552,0.400748705664728,0.587527650213833,57.0294628650122,-2.60859091483212E-06,-4.85357932506113E-05,0.000222252337192,-0.000173716543941,-9.28066694139458E-05,-9.28066694139458E-05,0.006743791934369,0.000977214273789,-0.007721006208158,-0.0059594192771,-0.0059594192771,0,0,0.00044237660768,-0.00044237660768
245832.803666122,-1543493.06204835,0.005928647605666,0.593237413970209,0.400833938424124,0.587308766364543,57.0294628650122,-2.60859091483212E-06,-4.85357932506113E-05,0.000222252337192,-0.000173716543941,-9.28066694139458E-05,-9.28066694139458E-05,0.006695256141118,0.001199466610981,-0.007894722752099,-0.006052225946514,-0.006052225946514,0,0,0.00044237660768,-0.00044237660768
245857.16933728,-1543441.49972001,0.005995877409844,0.593084872662401,0.400919249927755,0.587088995252557,57.0294628650122,-2.60859091483212E-06,-4.85357932506113E-05,0.000222252337192,-0.000173716543941,-9.28066694139458E-05,-9.28066694139458E-05,0.006646720347868,0.001421718948172,-0.00806843929604,-0.006145032615928,-0.006145032615928,0,0,0.00044237660768,-0.00044237660768
245881.535008438,-1543389.93739167,0.006089143388805,0.592986567052434,0.400924289558762,0.586897423663629,56.8865539316817,-1.53227180632598E-06,-0.000299640490993,0.000178071812114,0.000121568678879,-0.000220991422578,-0.000220991422578,0.006347079856874,0.001599790760287,-0.007946870617161,-0.006366024038506,-0.006366024038506,0,0,0.000486241347972,-0.000486241347972
245905.997328766,-1543338.57909241,0.006138274851829,0.592878653018373,0.400983072129798,0.586740378166544,56.7437509466098,-2.20732186306805E-07,3.41793451453687E-05,0.000125362734782,-0.000159542079927,-9.21477237120263E-05,-9.21477237120263E-05,0.00638125920202,0.001725153495068,-0.008106412697088,-0.006458171762218,-0.006458171762218,1.35525271560688E-20,1.35525271560688E-20,0.000303580294713,-0.000303580294713
245930.56812001,-1543287.43097916,0.006187568495833,0.59277059255218,0.401041838951987,0.586583024056348,56.7437509466098,-2.20732186306805E-07,3.41793451453687E-05,0.000125362734782,-0.000159542079927,-9.21477237120263E-05,-9.21477237120263E-05,0.006415438547165,0.00185051622985,-0.008265954777015,-0.00655031948593,-0.00655031948593,1.35525271560688E-20,1.35525271560688E-20,0.000303580294713,-0.000303580294713
245955.138911255,-1543236.28286591,0.006237008969708,0.592662408879387,0.401100582150906,0.586425399909679,56.7437509466098,-2.20732186306805E-07,3.41793451453687E-05,0.000125362734782,-0.000159542079927,-9.21477237120263E-05,-9.21477237120263E-05,0.006449617892311,0.001975878964631,-0.008425496856942,-0.006642467209642,-0.006642467209642,1.35525271560688E-20,1.35525271560688E-20,0.000303580294713,-0.000303580294713
